Reference Name,Compared Name,Normalized Mutual Information Index (arithmetic),Normalized Variation Of Information Metric,Jaccard Index
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_asyn.clu,0.0254,0.9517,0.9048
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_girvan-newman.clu,0.0254,0.9517,0.9048
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_greedy.clu,0.0254,0.9517,0.9048
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_louvain.clu,0.0254,0.9517,0.9048
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_spinglass.clu,0.0254,0.9517,0.9048
256_4_4_4_13_18_p.clu,256_4_4_4_13_18_p_walktrap.clu,0.0254,0.9517,0.9048
