Reference Name,Compared Name,Normalized Mutual Information Index (arithmetic),Normalized Variation Of Information Metric,Jaccard Index
zachary_unwh.clu,zachary_unwh_asyn.clu,0.2323,0.6280,0.4469
zachary_unwh.clu,zachary_unwh_girvan-newman.clu,0.2515,0.5798,0.4712
zachary_unwh.clu,zachary_unwh_greedy.clu,0.1509,0.6925,0.6833
zachary_unwh.clu,zachary_unwh_louvain.clu,0.1784,0.6873,0.5348
zachary_unwh.clu,zachary_unwh_spinglass.clu,0.2359,0.5866,0.4754
zachary_unwh.clu,zachary_unwh_walktrap.clu,0.3169,0.5042,0.3498
