Reference Name,Compared Name,Normalized Mutual Information Index (arithmetic),Normalized Variation Of Information Metric,Jaccard Index
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_asyn.clu,0.0000,1.0000,1.0000
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_girvan-newman.clu,0.0000,1.0000,1.0000
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_greedy.clu,0.0000,1.0000,1.0000
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_louvain.clu,0.0000,1.0000,1.0000
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_spinglass.clu,0.0000,1.0000,1.0000
256_4_4_2_15_18_p.clu,256_4_4_2_15_18_p_walktrap.clu,0.0000,1.0000,1.0000
